pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement
ADARSH NAGAR,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,7,1,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,2
ALIPUR,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,2,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AMAN VIHAR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AMAR COLONY,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AMBEDKAR NAGAR,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2,0,0,1,8,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1
ASHOK VIHAR,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
BABA HARIDAS NAGAR,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3
BADARPUR,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,1,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BARA HINDU RAO,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,7,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1
BARAKHAMBA ROAD,0,0,0,1,0,0,10,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1
BAWANA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,3,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BEGUM PUR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,7,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1
BHAJAN PURA,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,3,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,1,0
BHALSWA DAIRY,0,1,0,1,0,0,0,0,4,0,4,0,0,0,0,0,1,3,2,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHARAT NAGAR,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,5,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3
BINDA PUR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BURARI,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CHANKYA PURI,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,10,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHHAWALA,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,7,2,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CHITRANJAN PARK,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,2
CIVIL LINES,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONNAUGHT PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,13,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CRIME BRANCH,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFENCE COLONY,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,5,1,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4
DELHI CANTT,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWARKA NORTH,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
DWARKA SOUTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6,1
ECONOMIC OFFENCES WING,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATEHPUR BERI,0,0,0,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1
GOKUL PURI,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GOVIND PURI,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,2,1,0,9,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2
GREATER KAILASH,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,3,0,9,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2
GULABI BAGH,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,2,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2
HARI NAGAR,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
HARSH VIHAR,0,0,0,1,0,0,0,0,13,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HAUZ KHAS,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,1,2,0,7,0,4,0,0,2,0,0,1,0,0,0,0,0,1,0,2
HAZARAT NIZAMUDDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDER PURI,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
JAFFARPUR KALAN,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1
JAFRABAD,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,1
JAHANGIR PURI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
JANAK PURI,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,5,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
JYOTI NAGAR,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,2,1,7,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1
KALKAJI,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KANJHAWALA,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KAPASHERA,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KARAWAL NAGAR,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1
KASHMERI GATE,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KESHAV PURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12,1
KHAJURI KHAS,0,1,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,4,0,1
KHYALA,0,0,0,0,0,0,0,0,14,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
KIRTI NAGAR,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
KN KATJU MARG,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
KOTWALI,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,1,1,0,8,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
LAHORI GATE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1
LAJPAT NAGAR,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LODI COLONY,0,0,0,1,0,0,0,0,4,0,3,0,0,0,2,0,0,0,5,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MAHENDRA PARK,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MANDIR MARG,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1
MANGOL PURI,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,1,0,10,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
MAURICE NAGAR,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,7,1,10,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MAURYA ENCLAVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2
MAYAPURI,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,4,0,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEHRAULI,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0
MIANWALI NAGAR,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
MODEL TOWN,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,9,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
MOTI NAGAR,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0
MUKHERJEE NAGAR,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,5,0,1
MUNDKA,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAJAF GARH,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,2,2,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4
NAND NAGRI,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,3
NANGLOI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NARAINA,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,1,3,5,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NARELA,0,3,0,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEB SARAI,0,1,0,1,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,3,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NEW FRIENDS COLONY,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEW USMANPUR,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,1,2,1,2,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,2
NIHAL VIHAR,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,1,5,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NORTH AVENUE,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NORTH ROHINI,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,4,0,10,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
OKHLA INDUSTRIAL AREA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PALAM VILLAGE,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARLIAMENT STREET,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,2
PASCHIM VIHAR,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,5,2,9,0,4,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2
PRASHANT VIHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,0,2,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,1
PUL PRAHLAD PUR,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,6,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
PUNJABI BAGH,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,1,2,3,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R. K. PURAM,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,0,0,0,9,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RAJOURI GARDEN,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,1,2,1,1,4,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
RANHOLA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANI BAGH,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,10,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
ROOP NAGAR,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2
SADAR BAZAR,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,1,2,0,10,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
SAFDARJUNG ENCLAVE,0,2,0,1,0,1,2,0,3,0,0,0,0,0,0,0,1,2,1,2,1,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAGAR PUR,0,0,0,1,0,1,0,0,13,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SAKET,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,2,1,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMAIPUR BADLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SANGAM VIHAR,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2
SARAI ROHILLA,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,5,1,1,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
SARITA VIHAR,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4
SECTOR 23 DWARKA,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,2,1,2,2,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SEELAMPUR,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0
SHAHBAD DAIRY,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
SHALIMAR BAGH,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,3,0,1,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0
SONIA VIHAR,0,0,0,1,0,0,0,0,7,0,4,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0
SOUTH AVENUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SOUTH CAMPUS,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,10,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOUTH ROHINI,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,10,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
SPECIAL CELL (SB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUBHASH PLACE,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,2,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
SUBZI MANDI,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,2,0,2,0,1,0,3,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SULTANPURI,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
SUNLIGHT COLONY,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1
SWAROOP NAGAR,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TILAK MARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TILAK NAGAR,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,8,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,2
TIMARPUR,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,2,0,7,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
TUGHLAK ROAD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAM NAGAR,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,4,0,4,0,3,0,1,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0
VASANT VIHAR,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,2,0,1,0,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2
VIJAY VIHAR,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,14,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
VIKASPURI,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,2,2,4,1,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1
WELCOME,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,0,0
